Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
31368,Ministry of Intercession,Out of School Time,Level 5,"3409 Baseline Rd, Little Rock, AR, 72209-5505",Pulaski,Carolyn Wilkerson,Ronald Wilkerson - Ministry of Intercession,(501) 565-0100,missycarolyn01@att.net,,258,FALSE,FALSE,FALSE
31220,Adam's Clubhouse-Quality Care for Special Needs Children,Out of School Time,Level 5,"880 N Redmond Rd, Jacksonville, AR, 72076-3672",Pulaski,Renee Green,"Adam's Clubhouse - Quality Care for Special Needs Children, Inc.",(501) 982-2326,rgreen.adamsclubhouse@gmail.com,www.AdamsClubhouse.org,36,TRUE,FALSE,FALSE
29662,Little Rock School District Early Childhood / Geyer Springs,Child Care Center,Level 5,"5240 Mabelvale Pike, Little Rock, AR, 72209",Pulaski,Charlotte Cornice,Little Rock School Board,(501) 447-4802,esther.jones@lrsd.org,,304,TRUE,FALSE,TRUE
27275,Little Rock School District Fulbright Elementary Pre-K,Child Care Center,Level 5,"300 Pleasant Valley Dr, Little Rock, AR, 72212-3158",Pulaski,Andreia Crawford,Little Rock School Board,(501) 447-4702,esther.jones@lrsd.org,,60,TRUE,FALSE,TRUE
25813,Pre-K Lawson Elementary,Child Care Center,Level 5,"19901 Lawson Rd, Little Rock, AR, 72210-4876",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 821-7000,nstolzer3086@pcssd.org,www.prssd.org,40,FALSE,FALSE,TRUE
23211,Emmanuel Covenant Community Development Corporation,Child Care Center,Level 5,"6012 General Samuels Road, Jacksonville, AR, 72076",Pulaski,Lashan Hall,Emmanuel Covenant Community Development,(501) 834-3610,emmanuellearningctr@yahoo.com,,81,TRUE,TRUE,TRUE
21174,Landmark Elementary School,Child Care Center,Level 5,"16712 Arch Street Pike, Little Rock, AR, 72206-6157",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 888-8790,nstolzer3086@pcssd.org,,83,FALSE,TRUE,TRUE
15301,Stephens Elementary,Child Care Center,Level 5,"3700 West 18th Street, Little Rock, AR, 72204",Pulaski,Esther Jones,Little Rock School Board,(501) 447-6402,esther.jones@lrsd.org,,78,TRUE,TRUE,TRUE
14543,Forest Park Elementary,Child Care Center,Level 5,"1600 North Tyler, Little Rock, AR, 72207",Pulaski,Esther Jones,Little Rock School Board,(501) 447-4502,esther.jones@lrsd.org,,21,TRUE,TRUE,TRUE
10956,Chicot Elementary Pre-K Program,Child Care Center,Level 5,"11100 Chicot Road, Mabelvale, AR, 72103",Pulaski,Esther Jones,Little Rock School Board,(501) 447-4102,esther.jones@lrsd.org,,287,TRUE,TRUE,TRUE
7655,Romine Early Childhood Pre-K,Child Care Center,Level 5,"3400 Romine Road, Little Rock, AR, 72204",Pulaski,Esther Jones,Little Rock School Board,(501) 447-6302,esther.jones@lrsd.org,,270,TRUE,TRUE,TRUE
7579,Boone Park Elementary Pre-K Program,Child Care Center,Level 5,"1400 Crutcher St, North Little Rock, AR, 72114-3909",Pulaski,Maribel Siems,North Little Rock School District,(501) 340-5160,siemsm@nlrsd.org,,60,TRUE,TRUE,TRUE
6550,Oak Grove Elementary School,Child Care Center,Level 5,"5703 Oak Grove Rd, North Little Rock, AR, 72118-1988",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 851-5370,nstolzer3086@pcssd.org,,46,FALSE,TRUE,TRUE
2001,Fair Park Elementary Pre-K,Child Care Center,Level 5,"616 North Harrison Street, Little Rock, AR, 72205",Pulaski,Judy Milam,Little Rock School Board,(501) 447-4402,esther.jones@lrsd.org,,217,TRUE,TRUE,TRUE
36383,Life Skills for Youth Inc,Out of School Time,Level 4,"13000 West Baseline, Little Rock, AR, 72209",Pulaski,Eloise Propps,Life Skills For Youth Inc,(501) 517-2755,coachclarklsy@gmail.com,www.lifeskillsforyouth.org,158,TRUE,FALSE,FALSE
36040,Lovely Sunshine Learning Center LR LCC,Child Care Center,Level 4,"6800 Baseline Rd, Little Rock, AR, 72209",Pulaski,Leticia Rodriguez,Lovely Sunshine Learning Center LR LLC,(501) 661-9291,lrodriguez@lovelysunshine.org,Facebook Page (Lovely Sunshine Learning Center -Little Rock),71,TRUE,TRUE,FALSE
31372,UAMS Pulaski Tech Head Start,Child Care Center,Level 4,"8901 Kanis Rd, Little Rock, AR, 72205-6413",Pulaski,Shenita Shephard,UAMS DEPARTMENT OF PEDIATRICS,(501) 570-5000,jford2@uams.edu,,234,FALSE,TRUE,FALSE
31009,Little Sprouts Learning Center,Child Care Center,Level 4,"6701 Geyer Springs Rd, Little Rock, AR, 72209-2723",Pulaski,Tamara Fowler,Little Sprouts Learning Center LLC,(501) 562-9132,littlesprouts802@gmail.com,,187,TRUE,TRUE,FALSE
30526,Baker Elementary School Pre-K,Child Care Center,Level 4,"15001 Kanis Rd, Little Rock, AR, 72223-4929",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 228-3250,nstolzer3086@pcssd.org,pcssd.org,20,FALSE,FALSE,TRUE
30433,Adkins Pre K Center,Child Care Center,Level 4,"500 Cloverdale Rd, Jacksonville, AR, 72076-5614",Pulaski,Christen Bradford,Jacksonville North Pulaski School District (JNPSD),(501) 982-3117,cbradford@jnpsd.org,,281,FALSE,FALSE,TRUE
30064,Ferncliff Camp and Conference Center Summer Program,Out of School Time,Level 4,"1720 Ferncliff Rd, Little Rock, AR, 72223-9404",Pulaski,Ruth Arnold,FERNCLIFF Camp and Conference Center,(501) 821-3063,jocelyn@ferncliff.org,www.ferncliff.org,428,FALSE,FALSE,FALSE
29468,Aftercare Express at Lakewood UMC,Out of School Time,Level 4,"1922 TOPF ROAD, NORTH LITTLE ROCK, AR, 72116",Pulaski,Sarah Ables,Aftercare Express at Lakewood UMC,(501) 753-3085,sables@expandingthelight.org,expandingthelight.org/ace,376,TRUE,FALSE,FALSE
28960,Pre-K Harris Elementary,Child Care Center,Level 4,"4424 AR-161 N, North Little Rock, AR, 72117-2728",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 955-3550,nstolzer3086@pcssd.org,pcssd.org,30,FALSE,FALSE,TRUE
27428,"Kidz Zone Learning Center, Inc.",Child Care Center,Level 4,"1410 Daisy Bates, Little Rock, AR, 72202",Pulaski,Altonia Brown,Kidz Zone Learning Center Inc,(501) 660-6699,ttereill12@gmail.com,,117,TRUE,TRUE,FALSE
26788,Nana's Learning Center,Licensed Child Care Family Home,Level 4,"914 W Roosevelt Rd, Little Rock, AR, 72206-2041",Pulaski,Teresa Slay,Teresa Slay,(501) 749-6939,teresa.slay@yahoo.com,,10,TRUE,TRUE,FALSE
24258,Gibbs Elementary,Child Care Center,Level 4,"1115 West 16th Street, Little Rock, AR, 72202",Pulaski,Esther Jones,Little Rock School Board,(501) 447-4902,esther.jones@lrsd.org,,27,TRUE,TRUE,TRUE
22825,Pre-K PCSSD Oakbrooke Elementary,Child Care Center,Level 4,"2200 Thornhill Dr, Sherwood, AR, 72120-3161",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1190,nstolzer3086@pcssd.org,,54,FALSE,TRUE,TRUE
22824,PCSSD Cato Elementary,Child Care Center,Level 4,"9906 Jacksonville-Cato Rd, Sherwood, AR, 72120-1950",Pulaski,Tracie Mitchell,Pulaski County Special School District,(501) 833-1160,nstolzer3086@pcssd.org,,60,FALSE,TRUE,TRUE
22820,Pre- K Robinson Elementary,Child Care Center,Level 4,"21600 AR-10, Little Rock, AR, 72223",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 868-2420,nstolzer3086@pcssd.org,,51,FALSE,TRUE,TRUE
22501,North Little Rock 6 Academy of Agricultural and Veterinary Sciences,Child Care Center,Level 4,"1200 Bishop Lindsey Ave, North Little Rock, AR, 72114-4974",Pulaski,Maribel Siems,North Little Rock School District,(501) 340-5170,siemsm@nlrsd.org,,80,TRUE,TRUE,TRUE
21181,In A Childs World,Child Care Center,Level 4,"9420 Chicot Road, Little Rock, AR, 72209",Pulaski,La Cretia Bruce,Ruben Day,(501) 570-0057,lacretiabruce@gmail.com,,43,TRUE,TRUE,FALSE
21175,Pre-K Daisy Bates Elementary School,Child Care Center,Level 4,"14300 Dineen Dr, Little Rock, AR, 72206-5820",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 897-7271,nstolzer3086@pcssd.org,,72,FALSE,TRUE,TRUE
15656,UAMS Metro Headstart,Child Care Center,Level 4,"7701 Scott Hamilton Dr, Little Rock, AR, 72209-5463",Pulaski,Michael Ghiendoni,UAMS DEPARTMENT OF PEDIATRICS,(501) 447-1243,ccartwright2@uams.edu,,63,FALSE,TRUE,FALSE
6576,Grace Lutheran Early Childhood Center,Child Care Center,Level 4,"5124 Hillcrest Ave, Little Rock, AR, 72205-1802",Pulaski,Kelly Moore,Grace Lutheran Church,(501) 663-0755,ecdc@gracelutheranlr.org,gracelutheranlr.org,138,FALSE,FALSE,FALSE
6175,Christ Little Rock Early Childhood,Child Care Center,Level 4,"315 S Hughes St, Little Rock, AR, 72205-5128",Pulaski,Brenda Porter,Christ Lutheran Church,(501) 663-5212,bporter@christlittlerock.com,www.christlittlerockschool.com,339,TRUE,FALSE,FALSE
2032,Martin Luther King Jr. Elementary Pre-K,Child Care Center,Level 4,"907 Martin Luther King Drive, Little Rock, AR, 72202",Pulaski,Esther Jones,Little Rock School Board,(501) 447-5102,esther.jones@lrsd.org,,120,TRUE,TRUE,TRUE
54739,YMCA Child Development Center North Little Rock,Child Care Center,Level 3,"3335 Springhill Drive, North Little Rock, AR, 72117",Pulaski,Janice Stivers,YMCA of Memphis & The Mid South,(501) 607-7045,elc.northlittlerock@ymcamemphis.org,,94,TRUE,FALSE,FALSE
54445,YMCA Child Development Center at Little Rock,Child Care Center,Level 3,"10324 Kanis Rd, Little Rock, AR, 72205-6206",Pulaski,Carla Redmon,YMCA of Memphis & The Mid South,(501) 607-6532,elc.littlerock@ymcamemphis.org,,202,TRUE,FALSE,FALSE
54139,Western Hills Elementary CARE,Out of School Time,Level 3,"4901 Western Hills Avenue, Little Rock, AR, 72204",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,36,TRUE,FALSE,FALSE
53255,Darnall School,Child Care Center,Level 3,"1816 Hinson Loop Rd, Little Rock, AR, 72212-3902",Pulaski,Tiffany Stanton,MNY LEARNING CENTER LLC,(501) 225-4462,director@darnallschool.com,https://darnallschool.com/,122,TRUE,FALSE,FALSE
52980,"Youth Institute Academy, INC",Child Care Center,Level 3,"3918 Jones Street, Little Rock, AR, 72206",Pulaski,Loretta Watson,"Youth Institute Academy, INC",(501) 298-5564,doyneregina@gmail.com,youthinstitutecs.com,81,TRUE,FALSE,FALSE
52790,Childcare Network #191,Child Care Center,Level 3,"10700 Kanis Road, Little Rock, AR, 72211",Pulaski,Marsha Humbert,Child Development Schools Arkansas LLC,(501) 223-6990,cni191@childcarenetwork.com,,139,TRUE,FALSE,FALSE
52789,Childcare Network #269,Child Care Center,Level 3,"104 Country Club Parkway, Maumelle, AR, 72113",Pulaski,Ricki Corder,Child Development Schools Arkansas LLC,(501) 391-1600,cni269@childcarenetwork.com,,29,TRUE,FALSE,FALSE
52788,Childcare Network #205,Child Care Center,Level 3,"306 North Shackleford Road, Little Rock, AR, 72211",Pulaski,Kashia Clark,Child Development Schools Arkansas LLC,(501) 224-0978,cni205@childcarenetwork.com,,110,TRUE,FALSE,FALSE
52785,Childcare Network #190,Child Care Center,Level 3,"800 Kirk Road, Little Rock, AR, 72223",Pulaski,Destinie Otey,Child Development Schools Arkansas LLC,(501) 821-0006,cni190@childcarenetwork.com,,144,TRUE,FALSE,FALSE
51563,Butterfly Academy,Child Care Center,Level 3,"2615 West 16th Street, Central High Historic District, Little Rock, AR, 72202",Pulaski,Alexandria Bunger,A Bunger Baby Daycare,(501) 916-2353,abungerbaby@gmail.com,https://www.abungerbabydaycare.com,40,TRUE,FALSE,FALSE
48568,Marneicias Love & Care Development Center,Child Care Center,Level 3,"8501 Geyer Springs Rd, Little Rock, AR, 72209-4949",Pulaski,Marneicia Clay,Marneicias Love & Care Development Center,(501) 747-1077,marneicias@gmail.com,,30,TRUE,FALSE,FALSE
47102,The House of Harmony,Licensed Child Care Family Home,Level 3,"513 Thayer, Little Rock, AR, 72205",Pulaski,Latarsha Epperson,The House of Harmoy,(501) 563-4147,latarshaepperson75@gmail.com,,16,TRUE,FALSE,FALSE
46112,Wonderful Beginnings Learning Center LLC,Child Care Center,Level 3,"6401 Colonel Glenn Rd, Little Rock, AR, 72204-7513",Pulaski,Andrea Williams,Wonderful Beginnings Learning Center LLC,(501) 516-0203,wonderfulbeginningslc@yahoo.com,,53,TRUE,FALSE,FALSE
46079,UAMS Head Start Little Learner,Child Care Center,Level 3,"1500 Pershing Blv, North Little Rock, AR, 72114",Pulaski,Tyra Larkin,UAMS Head Start,(501) 590-7522,jford2@uams.edu,headstart.UAMS.edu,68,FALSE,FALSE,FALSE
45898,Janna's Little Angels #2,Child Care Center,Level 3,"5615 Geyer Springs Rd, Little Rock, AR, 72209-1812",Pulaski,Lanna Harton,Janna's Little Angels LLC,(501) 246-0620,lannaharton@yahoo.com,,191,TRUE,FALSE,FALSE
31428,Easterseals Arkansas,Early Intervention Day Treatment (EIDT),Level 3,"1617 Brookwood Dr, Little Rock, AR, 72202-1703",Pulaski,Karye Brockert,EASTERSEALS ARKANSAS,(501) 663-6965,kbrockert@eastersealsar.com,WWW.EASTERSEALSAR.COM,200,TRUE,FALSE,FALSE
30478,Kid Success LLC DBA Pediatrics Plus Developmental Preschool,Early Intervention Day Treatment (EIDT),Level 3,"1540 Country Club Rd, Sherwood, AR, 72120-5095",Pulaski,Jessica Myers,KIDS SUCCESS INC PEDIATRICS PLUS DEV PRESCHOOL,(501) 753-5459,dhscompliance@pediatricsplus.com,,218,TRUE,TRUE,FALSE
29929,ARCHILD Inc.,Early Intervention Day Treatment (EIDT),Level 3,"7723 Colonel Glenn Rd, Little Rock, AR, 72204-7503",Pulaski,Marti Dush,"ARCHILD, INC.",(501) 280-9195,mdush@archildschool.com,,179,TRUE,TRUE,FALSE
26670,Pathfinder Preschool,Early Intervention Day Treatment (EIDT),Level 3,"2400 W Main St, Jacksonville, AR, 72076-4212",Pulaski,Debbie Scharbor,"PATHFINDER, INC.",(501) 982-4578,mary.ritchie@pathfinderinc.org,www.pathfinderinc.org,243,FALSE,TRUE,FALSE
8675,Easterseals Arkansas,Early Intervention Day Treatment (EIDT),Level 3,"3920 WOODLAND HEIGHTS, Little Rock, AR, 72212-2495",Pulaski,Ashlee DuPriest,EASTERSEALS ARKANSAS,(501) 227-3600,adupriest@eastersealsar.com,WWW.EASTERSEALSAR.COM,157,TRUE,FALSE,FALSE
38330,Excellence Learning Academy,Child Care Center,Level 3,"109 N Jeff Davis Ave, Jacksonville, AR, 72076-4019",Pulaski,Ebonee Harrison,Excellence Learning Academy,(501) 241-0968,bhardfield@elajax.org,elajax.org,49,TRUE,FALSE,FALSE
38152,Beginning Adventures Childcare,Child Care Center,Level 3,"101 N Elm St, Jacksonville, AR, 72076-4606",Pulaski,Diane Pitts,Beginning Adventures Childcare LLC,(501) 241-0651,b_adventures@yahoo.com,,164,TRUE,FALSE,FALSE
37737,Carmell's Learning Center LLC,Child Care Center,Level 3,"2000 Fendley Drive, North Little Rock, AR, 72114",Pulaski,Carmell Boyd,Carmell's Learning Center LLC,(501) 541-4305,carmell.boyd@gmail.com,,168,TRUE,TRUE,FALSE
36649,Deta Freshstart Academy LLC,Child Care Center,Level 3,"6401 W 32nd Street, Little Rock, AR, 72204",Pulaski,Donald Howard,Deta Freshstart Academy LLC,(501) 256-2009,donald_howard42@yahoo.com,,135,TRUE,FALSE,FALSE
36547,That After School Place LLC,Out of School Time,Level 3,"8609 W Markham Suite E, Little Rock, AR, 72205",Pulaski,Katrina Bryant,That After School Place LLC,(501) 749-6879,thatafterschoolplace@gmail.com,,76,TRUE,TRUE,FALSE
35720,Kiddie Town Learning Center,Licensed Child Care Family Home,Level 3,"6022 Hinkson Rd, Little Rock, AR, 72209-4706",Pulaski,Janice Hinton,Janice Hinton,(501) 519-6304,jhinton71@yahoo.com,,16,TRUE,TRUE,FALSE
35533,The Goddard School,Child Care Center,Level 3,"15100 Chenal Pkwy, Little Rock, AR, 72211",Pulaski,Abby Carter,BC Marshall Childcare LLC Goddard School,(501) 367-7200,littlerockar@goddardschools.com,,149,FALSE,FALSE,FALSE
31301,Bright Beginnings Childcare Center II,Child Care Center,Level 3,"200 W 20th St, North Little Rock, AR, 72114-2812",Pulaski,Toneisha Harper,Bright Beginnings Child Care Center Inc.,(501) 771-0114,bbcccnlr@sbcglobal.net,,145,TRUE,TRUE,TRUE
31268,Tender Hearts Learning Center,Child Care Center,Level 3,"4124 W 11th St, Little Rock, AR, 72204-2008",Pulaski,Rosalind Lewis,Rosalind Lewis,(501) 308-4153,harrisrosalind47@yahoo.com,,28,TRUE,TRUE,FALSE
30982,King's Kids Academy-Mabelvale LLC,Child Care Center,Level 3,"10600 Train Station Dr, Mabelvale, AR, 72103-1644",Pulaski,Lisa Boyd,Kings Kids Academy Mabelvale LLC,(501) 565-5437,kingskidsacademy1@yahoo.com,,122,TRUE,TRUE,FALSE
30919,Treehouse Children's Learning Center,Child Care Center,Level 3,"901 Parker St, North Little Rock, AR, 72114-4546",Pulaski,Edward Loney,Eddie Loney,(501) 374-2611,treehouseclc.nlr@gmail.com,,169,TRUE,TRUE,FALSE
30819,UAMS St. Augustine Head Start,Child Care Center,Level 3,"1410 E 2nd St, North Little Rock, AR, 72114-5927",Pulaski,Tamiko Thomas,UAMS DEPARTMENT OF PEDIATRICS,(501) 526-8049,tmlarkin@uams.edu,,98,FALSE,TRUE,FALSE
30631,Small Wonders Academy,Child Care Center,Level 3,"1920 S Broadway St, Little Rock, AR, 72206-1352",Pulaski,LaQuisha Lindsey,La Quisha Lindsey,(501) 420-1684,laquisha.lindsey@yahoo.com,,75,TRUE,TRUE,FALSE
30568,Building A Better World Child Development Center,Child Care Center,Level 3,"1701 North Mississippi Street, Little Rock, AR, 72207",Pulaski,Angela Key,Building A Better World CDC,(501) 349-5310,keyangela38@yahoo.com,,73,TRUE,TRUE,FALSE
30435,Bayou Meto Elementary School,Child Care Center,Level 3,"25701 AR 107 Jax, Jacksonville, AR, 72076",Pulaski,Chisten Bradford,Jacksonville North Pulaski School District (JNPSD),(501) 988-4131,cbradford@jnpsd.org,,67,FALSE,FALSE,TRUE
29964,"Kid to Kid 1 Child Development Center, Inc.",Child Care Center,Level 3,"213 W Main St, Jacksonville, AR, 72076-4504",Pulaski,Laqueta James,Kid To Kid 2 Child Development Center Inc,(501) 914-0713,kidtokid2cdc@gmail.com,,50,TRUE,TRUE,FALSE
29830,Glenview Elementary Pre-K,Child Care Center,Level 3,"4901 E 19th St, North Little Rock, AR, 72117-3943",Pulaski,Maribel Siems,North Little Rock School District,(501) 955-3630,siemsm@nlrsd.org,,100,TRUE,TRUE,TRUE
29655,Gertrude Remmel Butler Methodist CDC Inc.,Child Care Center,Level 3,"324 W 8th St, Little Rock, AR, 72201-4304",Pulaski,Somer Spencer,GERTRUDE REMMEL BUTLER METHODIST CDC INC.,(501) 372-2327,rebecca@childdevelopmentcenterlr.com,,414,TRUE,TRUE,FALSE
29466,Amboy Elementary Pre-K,Child Care Center,Level 3,"101 Auburn Dr, North Little Rock, AR, 72118-2711",Pulaski,Maribel Siems,North Little Rock School District,(501) 771-8185,siemsm@nlrsd.org,,40,TRUE,TRUE,TRUE
29463,Arkansas Early Learning Inc. North Little Rock Center,Child Care Center,Level 3,"8000 Industry Drive, North Little Rock, AR, 72116",Pulaski,Arcola Gaston,ARKANSAS EARLY LEARNING INC,(870) 931-1172,agaston@arearlylearning.org,,60,FALSE,TRUE,FALSE
29289,First Steps Child Development Center #2,Child Care Center,Level 3,"207 Steed Road, North Little Rock, AR, 72117",Pulaski,April Carruth,First Steps Child Development Center Llc,(501) 945-2100,1firstlady6058@gmail.com,,94,TRUE,TRUE,FALSE
29105,Ms. Carries Day School,Child Care Center,Level 3,"1824 N Mississippi St, Little Rock, AR, 72207-4035",Pulaski,Emily Hillis,Emily Hillis,(501) 225-4800,hillisemily@yahoo.com,,92,TRUE,TRUE,FALSE
28644,Little Scholars Academy of Maumelle (East),Child Care Center,Level 3,"10910 Maumelle Blvd, Maumelle, AR, 72113-6629",Pulaski,Dominique Wilson,Little Scholars Academy LLC,(501) 803-0300,wwdominique@gmail.com,,189,TRUE,TRUE,TRUE
28565,DREAM Infant & Toddler Development Center,Child Care Center,Level 3,"11 Shelby Rd, Sherwood, AR, 72120-3197",Pulaski,Jody Abernathy,D R E A M,(501) 835-3274,dreamnlr@yahoo.com,dreamarkansas.org,67,TRUE,TRUE,FALSE
28523,Bumble Bee Academy,Child Care Center,Level 3,"8800 Brockington Road, Sherwood, AR, 72120",Pulaski,Autumn Davis,Bumble Bee Academy,(501) 273-5947,bumblebeeacademy@aol.com,,72,TRUE,TRUE,FALSE
28118,Family Development Center,Child Care Center,Level 3,"2725 West 12th Street, Little Rock, AR, 72204",Pulaski,Ashley Bozeman,Family Development Center,(501) 661-4001,fdc7527@yahoo.com,,42,TRUE,FALSE,FALSE
27488,Savvy Kids Learning Center Inc.,Child Care Center,Level 3,"3200 S Bryant St, Little Rock, AR, 72204-5924",Pulaski,Lynette Lemons,Lynette Lemons,(501) 562-3600,savvykidslearningcenter@gmail.com,,78,TRUE,TRUE,FALSE
27349,Chicot Head Start,Child Care Center,Level 3,"7703 DEPRIEST, Little Rock, AR, 72103",Pulaski,Tamiko Thomas,UAMS DEPARTMENT OF PEDIATRICS,(501) 526-7272,ccartwright2@uams.edu,,47,FALSE,TRUE,FALSE
27033,Little Scholars Academy Of Maumelle West Campus,Child Care Center,Level 3,"112 Audubon Dr, Maumelle, AR, 72113",Pulaski,Maria Alvis,Little Scholars Academy LLC,(501) 851-0333,wwdominique@gmail.com,,127,TRUE,TRUE,FALSE
25685,First Steps Child Development Center,Child Care Center,Level 3,"8215 Geyer Spring, Little Rock, AR, 72209",Pulaski,Irene Carruth,First Steps Child Development Center Llc,(501) 562-2500,iscarruth1957@yahoo.com,tlcpastor1@yahoo.com,46,TRUE,TRUE,FALSE
25356,College Station Pre-K,Child Care Center,Level 3,"4424 Highway 161 North, North Little Rock, AR, 72117",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 490-5750,nstolzer3086@pcssd.org,,18,FALSE,TRUE,TRUE
25223,Meadow Park Elementary,Child Care Center,Level 3,"801 E Bethany Rd, North Little Rock, AR, 72117-3527",Pulaski,April McKinley,North Little Rock School District,(501) 955-3620,siemsm@nlrsd.org,,60,TRUE,TRUE,TRUE
24044,Pre-K Sherwood Elementary School,Child Care Center,Level 3,"307 Verona Ave, Sherwood, AR, 72120-5559",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1150,nstolzer3086@pcssd.org,,70,FALSE,TRUE,TRUE
23620,Pike View Early Childhood Center,Child Care Center,Level 3,"441 McCain Blvd, North Little Rock, AR, 72116-7112",Pulaski,Maribel Siems,North Little Rock School District,(501) 771-8170,siemsm@nlrsd.org,,458,TRUE,TRUE,TRUE
23121,Child Enrichment Center,Child Care Center,Level 3,"6 Children's Way, Little Rock, AR, 72202",Pulaski,Kim Daniels,Arkansas Childrens Hospital,(501) 364-3566,tatek2@archildrens.org,,336,TRUE,TRUE,FALSE
22950,Huda Academy,Child Care Center,Level 3,"3221 Anna St, Little Rock, AR, 72204-6132",Pulaski,Regaysha Shelton,Huda Academy,(501) 565-3555,principal@thehudaacademy.org,,86,TRUE,FALSE,FALSE
22444,Marvelous Kids Child Care Inc,Child Care Center,Level 3,"5804 Young Road, Little Rock, AR, 72209",Pulaski,Alice Bell,Marvelous Kids Child Care Inc,(501) 522-5563,marvkidz1@hotmail.com,,38,TRUE,TRUE,FALSE
22248,Lil Treasures Learning Academy,Child Care Center,Level 3,"8500 Indianhead Drive, Sherwood, AR, 72120",Pulaski,Kamela King,Lil Treasures Learning Academy Inc,(501) 834-8828,liltreaures@gmail.com,www.ltla.cc,162,TRUE,TRUE,FALSE
22063,Lake Point Kiddie Cottage,Child Care Center,Level 3,"1 Lake Pointe Dr, Maumelle, AR, 72113-6231",Pulaski,Dixie Whitney,Lake Point Kiddie Cottage Llc,(501) 851-3343,lpkids@att.net,,124,TRUE,TRUE,FALSE
21697,London Bridges Child Care Center Inc.,Child Care Center,Level 3,"305 East 50th Street, North Little Rock, AR, 72117",Pulaski,Johnnie Bridges,London Bridges Child Care Inc.,(501) 945-0297,preacherman1@aol.com,,115,TRUE,TRUE,TRUE
21579,Sylvan Hills Learning Center Inc,Child Care Center,Level 3,"10023 AR-107, Sherwood, AR, 72120-2444",Pulaski,Heather Blake-Stovall,Sylvan Hills Learning Center Inc.,(501) 835-9307,shlcdirector@yahoo.com,,99,TRUE,TRUE,FALSE
